AgeYrBP,SeaLevel,TwoSigErr
0,1.705,5.6595
125,1.642,3.104
250,1.018,3.0575
375,-0.066,3.0535
500,-0.838,3.056
625,-0.688,3.056
750,-0.129,3.064
875,-0.096,3.063
1000,-0.521,3.0665
1125,-0.63,3.0695
1250,-0.272,3.065
1375,0.003833,3.055
1500,0.024,3.053
1625,0.361,3.055
1750,1.391,3.0585
1875,2.421,3.0495
2000,2.343,3.0575
2125,1.118,3.0715
2250,-0.117,3.0535
2375,-0.602,3.064
2500,-0.74,3.062
2625,-1.134,3.054
2750,-1.708,3.0535
2875,-2.09,3.055
3000,-2.202,3.0535
3125,-2.07,3.054
3250,-1.616,3.08
3375,-0.994,3.0775
3500,-0.691,3.1035
3625,-1.115,3.097
3750,-2.267,3.0675
3875,-3.741,3.065
4000,-4.95,3.0595
4125,-5.544,3.0535
4250,-5.679,3.058
4375,-5.81,3.0625
4500,-6.334,3.0615
4625,-7.44,3.056
4750,-9.086,3.057
4875,-10.822,3.064
5000,-11.832,3.0685
5125,-11.641,3.0615
5250,-10.69,3.063
5375,-9.777,3.0685
5500,-9.115,3.094
5625,-8.381,3.0895
5750,-7.468,3.077
5875,-6.549,3.079
6000,-5.717,3.083
6125,-5.141,3.0715
6250,-5.125,3.0695
6375,-5.634,3.0665
6500,-6.118,3.0655
6625,-6.053,3.066
6750,-5.609,3.056
6875,-5.602,3.06
7000,-6.806,3.0775
7125,-9.281,3.1085
7250,-12.11,3.1035
7375,-14.079,3.094
7500,-14.856,3.102
7625,-15.098,3.1255
7750,-15.512,3.123
7875,-16.259,3.1005
8000,-17.07,3.1
8125,-17.633,3.101
8250,-18.012,3.1135
8375,-18.508,3.1055
8500,-19.163,3.1085
8625,-19.775,3.132
8750,-20.265,3.13
8875,-20.534,3.118
9000,-20.458,3.097
9125,-20.376,3.095
9250,-20.933,3.098
9375,-22.298,3.1055
9500,-24.028,3.1295
9625,-25.611,3.144
9750,-26.829,3.149
9875,-27.735,3.161
10000,-28.441,3.194
10125,-29.013,3.183
10250,-29.547,3.1775
10375,-30.281,3.1845
10500,-31.476,3.1885
10625,-33.009,3.1785
10750,-34.349,3.176
10875,-35.119,3.195
11000,-35.719,3.2245
11125,-37.424,3.259
11250,-41.617,3.2675
11375,-48.755,3.271
11500,-57.34,3.263
11625,-64.475,3.2585
11750,-68.616,3.241
11875,-70.465,3.2095
12000,-71.302,3.174
12125,-71.946,3.147
12250,-72.715,3.1295
12375,-73.515,3.1155
12500,-74.051,3.1
12625,-74.144,3.088
12750,-73.904,3.08
12875,-73.633,3.075
13000,-73.555,3.071
13125,-73.679,3.068
13250,-73.862,3.065
13375,-73.977,3.065
13500,-74.071,3.0635
13625,-74.297,3.064
13750,-74.699,3.0645
13875,-75.155,3.0645
14000,-75.488,3.0655
14125,-75.663,3.066
14250,-75.842,3.067
14375,-76.154,3.0675
14500,-76.563,3.0675
14625,-76.969,3.068
14750,-77.327,3.0695
14875,-77.671,3.0705
15000,-78.045,3.0715
15125,-78.485,3.0725
15250,-79.03,3.0735
15375,-79.644,3.0735
15500,-80.216,3.0745
15625,-80.722,3.076
15750,-81.174,3.0775
15875,-81.493,3.078
16000,-81.665,3.079
16125,-81.85,3.08
16250,-82.196,3.0825
16375,-82.707,3.085
16500,-83.298,3.0875
16625,-83.843,3.0905
16750,-84.247,3.091
16875,-84.498,3.0925
17000,-84.601,3.0945
17125,-84.59,3.096
17250,-84.601,3.098
17375,-84.777,3.1005
17500,-85.128,3.103
17625,-85.565,3.1065
17750,-86.012,3.11
17875,-86.487,3.114
18000,-87.08,3.1155
18125,-87.838,3.118
18250,-88.734,3.1205
18375,-89.73,3.1215
18500,-90.693,3.1225
18625,-91.415,3.1235
18750,-91.87,3.125
18875,-92.255,3.127
19000,-92.748,3.1295
19125,-93.382,3.1325
19250,-94.107,3.135
19375,-94.853,3.137
19500,-95.546,3.1395
19625,-96.204,3.141
19750,-97.055,3.142
19875,-98.263,3.143
20000,-99.607,3.144
20125,-100.746,3.144
20250,-101.625,3.145
20375,-102.386,3.144
20500,-103.07,3.143
20625,-103.671,3.142
20750,-104.437,3.14
20875,-105.72,3.1385
21000,-107.319,3.1355
21125,-108.484,3.133
21250,-108.855,3.1305
21375,-108.812,3.1275
21500,-108.782,3.1245
21625,-108.758,3.122
21750,-108.631,3.119
21875,-108.479,3.1165
22000,-108.418,3.1145
22125,-108.501,3.1125
22250,-108.743,3.1105
22375,-109.118,3.108
22500,-109.54,3.1055
22625,-109.889,3.1035
22750,-110.058,3.1015
22875,-110.032,3.0995
23000,-109.905,3.098
23125,-109.752,3.0975
23250,-109.589,3.097
23375,-109.439,3.0955
23500,-109.303,3.094
23625,-109.069,3.0925
23750,-108.558,3.0915
23875,-107.754,3.0915
24000,-106.947,3.0925
24125,-106.463,3.093
24250,-106.311,3.093
24375,-106.273,3.0915
24500,-106.176,3.09
24625,-105.959,3.0895
24750,-105.656,3.087
24875,-105.332,3.0855
25000,-105.002,3.0825
25125,-104.656,3.08
25250,-104.291,3.0795
25375,-103.86,3.0775
25500,-103.341,3.0775
25625,-102.851,3.075
25750,-102.527,3.0695
25875,-102.376,3.068
26000,-102.3,3.0645
26125,-102.184,3.064
26250,-101.975,3.064
26375,-101.735,3.062
26500,-101.601,3.065
26625,-101.634,3.0645
26750,-101.764,3.0635
26875,-101.93,3.0625
27000,-102.162,3.061
27125,-102.519,3.0605
27250,-103.029,3.0605
27375,-103.594,3.0595
27500,-104.023,3.059
27625,-104.213,3.0605
27750,-104.209,3.06
27875,-104.118,3.0575
28000,-104.072,3.0575
28125,-104.161,3.057
28250,-104.368,3.0555
28375,-104.621,3.0555
28500,-104.809,3.0535
28625,-104.816,3.0545
28750,-104.655,3.0545
28875,-104.467,3.0575
29000,-104.324,3.0595
29125,-104.148,3.061
29250,-103.823,3.0655
29375,-103.358,3.065
29500,-102.897,3.0695
29625,-102.488,3.0715
29750,-101.891,3.0685
29875,-100.846,3.0735
30000,-99.442,3.082
30125,-98.072,3.086
30250,-97.065,3.0875
30375,-96.461,3.0825
30500,-96.067,3.0785
30625,-95.62,3.0805
30750,-94.812,3.09
30875,-93.425,3.0895
31000,-91.632,3.0985
31125,-89.916,3.1015
31250,-88.61,3.093
31375,-87.74,3.081
31500,-87.168,3.0825
31625,-86.631,3.089
31750,-85.913,3.0815
31875,-85.095,3.074
32000,-84.43,3.073
32125,-84.061,3.0685
32250,-83.986,3.075
32375,-84.215,3.0885
32500,-84.788,3.0825
32625,-85.557,3.083
32750,-86.126,3.082
32875,-86.196,3.0865
33000,-85.786,3.0815
33125,-85.115,3.0675
33250,-84.474,3.0775
33375,-84.073,3.073
33500,-83.944,3.071
33625,-84.048,3.0725
33750,-84.411,3.0695
33875,-85.078,3.0715
34000,-86.027,3.064
34125,-87.153,3.0675
34250,-88.243,3.063
34375,-88.996,3.063
34500,-89.179,3.068
34625,-88.764,3.0695
34750,-87.883,3.0755
34875,-86.658,3.096
35000,-85.191,3.096
35125,-83.621,3.091
35250,-81.985,3.083
35375,-80.302,3.073
35500,-78.756,3.067
35625,-77.505,3.064
35750,-76.552,3.0645
35875,-75.859,3.06
36000,-75.364,3.0585
36125,-74.914,3.0625
36250,-74.373,3.067
36375,-73.784,3.07
36500,-73.333,3.0735
36625,-73.033,3.083
36750,-72.665,3.08
36875,-72.239,3.0825
37000,-72.191,3.088
37125,-73.003,3.093
37250,-74.798,3.105
37375,-77.193,3.1085
37500,-79.662,3.1055
37625,-81.968,3.1
37750,-83.953,3.0975
37875,-85.368,3.084
38000,-86.234,3.0785
38125,-86.751,3.0765
38250,-86.877,3.0725
38375,-86.485,3.0745
38500,-85.677,3.07
38625,-84.751,3.07
38750,-84.096,3.0675
38875,-83.984,3.0645
39000,-84.261,3.0625
39125,-84.459,3.0625
39250,-84.365,3.057
39375,-84.19,3.0565
39500,-84.143,3.057
39625,-84.148,3.055
39750,-84.002,3.0585
39875,-83.617,3.059
40000,-83.108,3.0615
40125,-82.662,3.0675
40250,-82.339,3.065
40375,-82.157,3.0745
40500,-82.127,3.073
40625,-82.117,3.08
40750,-81.917,3.0815
40875,-81.464,3.0875
41000,-80.951,3.0895
41125,-80.671,3.0915
41250,-80.783,3.0845
41375,-81.265,3.0885
41500,-81.953,3.089
41625,-82.666,3.0805
41750,-83.274,3.0805
41875,-83.645,3.089
42000,-83.8,3.08
42125,-83.89,3.0785
42250,-83.903,3.0795
42375,-83.725,3.083
42500,-83.385,3.0845
42625,-82.959,3.0855
42750,-82.446,3.087
42875,-81.872,3.092
43000,-81.365,3.0825
43125,-81.064,3.081
43250,-80.998,3.0815
43375,-81.077,3.083
43500,-81.139,3.0825
43625,-81.022,3.078
43750,-80.661,3.0765
43875,-80.127,3.0735
44000,-79.54,3.076
44125,-79.007,3.0745
44250,-78.65,3.077
44375,-78.55,3.0785
44500,-78.642,3.0685
44625,-78.73,3.07
44750,-78.632,3.0675
44875,-78.335,3.0635
45000,-77.915,3.0625
45125,-77.459,3.0675
45250,-77.08,3.068
45375,-76.802,3.077
45500,-76.499,3.0725
45625,-76.143,3.075
45750,-76.048,3.0865
45875,-76.581,3.09
46000,-77.612,3.081
46125,-78.572,3.0875
46250,-79.076,3.092
46375,-79.353,3.094
46500,-80.018,3.1
46625,-81.313,3.0995
46750,-82.712,3.098
46875,-83.55,3.0935
47000,-83.841,3.1055
47125,-84.075,3.0945
47250,-84.481,3.0945
47375,-84.867,3.0985
47500,-85.09,3.0885
47625,-85.328,3.0885
47750,-85.76,3.1005
47875,-86.177,3.0935
48000,-86.19,3.087
48125,-85.71,3.097
48250,-84.962,3.0955
48375,-84.12,3.096
48500,-83.21,3.1005
48625,-82.35,3.098
48750,-81.7,3.0985
48875,-81.243,3.0955
49000,-80.932,3.0955
49125,-80.793,3.091
49250,-80.697,3.0955
49375,-80.366,3.085
49500,-79.677,3.094
49625,-78.747,3.0835
49750,-77.792,3.0825
49875,-77.058,3.0895
50000,-76.707,3.0855
50125,-76.671,3.0835
50250,-76.667,3.088
50375,-76.407,3.0975
50500,-75.855,3.094
50625,-75.184,3.0945
50750,-74.523,3.092
50875,-73.912,3.0885
51000,-73.423,3.108
51125,-73.079,3.105
51250,-72.729,3.1105
51375,-72.251,3.118
51500,-71.754,3.1175
51625,-71.351,3.1245
51750,-70.883,3.1195
51875,-70.249,3.138
52000,-69.768,3.1295
52125,-69.709,3.129
52250,-69.855,3.142
52375,-69.913,3.141
52500,-69.865,3.1505
52625,-69.741,3.1615
52750,-69.584,3.1685
52875,-69.59,3.1505
53000,-69.842,3.1405
53125,-70.124,3.147
53250,-70.262,3.1405
53375,-70.429,3.1375
53500,-70.856,3.1285
53625,-71.397,3.1485
53750,-71.68,3.148
53875,-71.64,3.1435
54000,-71.652,3.1395
54125,-72.009,3.127
54250,-72.478,3.113
54375,-72.653,3.1125
54500,-72.477,3.134
54625,-72.282,3.1195
54750,-72.504,3.108
54875,-73.268,3.121
55000,-74.176,3.115
55125,-74.68,3.12
55250,-74.545,3.11
55375,-73.894,3.1145
55500,-73.073,3.1075
55625,-72.502,3.1175
55750,-72.434,3.119
55875,-72.715,3.1185
56000,-72.952,3.1135
56125,-72.983,3.1245
56250,-72.871,3.118
56375,-72.641,3.12
56500,-72.35,3.122
56625,-72.092,3.116
56750,-71.803,3.118
56875,-71.373,3.1325
57000,-70.891,3.1295
57125,-70.571,3.1225
57250,-70.357,3.133
57375,-69.876,3.112
57500,-68.956,3.111
57625,-67.824,3.1045
57750,-66.777,3.105
57875,-65.97,3.1045
58000,-65.535,3.1115
58125,-65.592,3.097
58250,-65.964,3.0955
58375,-66.284,3.09
58500,-66.412,3.08
58625,-66.427,3.0775
58750,-66.439,3.0795
58875,-66.591,3.082
59000,-66.925,3.0885
59125,-67.263,3.0905
59250,-67.509,3.094
59375,-67.757,3.0895
59500,-67.999,3.1
59625,-68.111,3.099
59750,-68.144,3.1105
59875,-68.292,3.1075
60000,-68.607,3.114
60125,-68.984,3.116
60250,-69.303,3.125
60375,-69.471,3.1315
60500,-69.479,3.146
60625,-69.528,3.162
60750,-69.786,3.151
60875,-70.102,3.1805
61000,-70.435,3.166
61125,-71.346,3.1975
61250,-73.719,3.191
61375,-77.795,3.213
61500,-82.488,3.2005
61625,-86.403,3.2215
61750,-89.176,3.21
61875,-91.028,3.228
62000,-92.176,3.203
62125,-92.976,3.2135
62250,-93.792,3.19
62375,-94.75,3.1875
62500,-95.738,3.1775
62625,-96.566,3.161
62750,-97.227,3.1635
62875,-97.844,3.11
63000,-98.423,3.112
63125,-98.862,3.1145
63250,-99.101,3.1105
63375,-99.224,3.0975
63500,-99.406,3.0965
63625,-99.674,3.091
63750,-99.807,3.091
63875,-99.64,3.082
64000,-99.299,3.079
64125,-99.018,3.075
64250,-98.883,3.0725
64375,-98.844,3.068
64500,-98.847,3.0675
64625,-98.888,3.073
64750,-98.973,3.0655
64875,-99.008,3.0685
65000,-98.818,3.0715
65125,-98.426,3.073
65250,-98.065,3.079
65375,-97.816,3.0745
65500,-97.642,3.0725
65625,-97.567,3.0865
65750,-97.425,3.0805
65875,-96.873,3.0895
66000,-95.878,3.0865
66125,-94.842,3.088
66250,-94.167,3.087
66375,-93.91,3.0925
66500,-93.85,3.0805
66625,-93.871,3.089
66750,-94.119,3.085
66875,-94.642,3.085
67000,-95.162,3.0905
67125,-95.426,3.084
67250,-95.567,3.0825
67375,-95.807,3.078
67500,-96.079,3.078
67625,-96.222,3.078
67750,-96.202,3.0705
67875,-96.071,3.073
68000,-95.889,3.0745
68125,-95.63,3.075
68250,-95.154,3.0725
68375,-94.366,3.0765
68500,-93.317,3.0775
68625,-92.086,3.087
68750,-90.69,3.0865
68875,-89.217,3.0845
69000,-87.862,3.083
69125,-86.829,3.087
69250,-86.183,3.0785
69375,-85.717,3.0745
69500,-85.088,3.0765
69625,-84.202,3.075
69750,-83.262,3.073
69875,-82.452,3.065
70000,-81.822,3.0675
70125,-81.327,3.073
70250,-80.816,3.08
70375,-80.141,3.092
70500,-79.297,3.0905
70625,-78.398,3.101
70750,-77.563,3.111
70875,-76.769,3.113
71000,-75.765,3.12
71125,-74.318,3.134
71250,-72.453,3.1415
71375,-70.098,3.1475
71500,-67.082,3.1435
71625,-63.94,3.138
71750,-61.884,3.147
71875,-61.658,3.142
72000,-62.867,3.1335
72125,-64.458,3.132
72250,-65.537,3.133
72375,-65.802,3.127
72500,-65.631,3.1165
72625,-65.613,3.115
72750,-65.787,3.11
72875,-65.925,3.111
73000,-66.284,3.1105
73125,-67.163,3.106
73250,-68.149,3.1095
73375,-68.615,3.108
73500,-68.618,3.109
73625,-68.631,3.1095
73750,-68.773,3.11
73875,-68.862,3.1015
74000,-68.934,3.101
74125,-69.249,3.1125
74250,-69.806,3.114
74375,-70.221,3.1245
74500,-70.261,3.1235
74625,-70.056,3.136
74750,-69.641,3.1425
74875,-69.008,3.148
75000,-68.429,3.149
75125,-68.128,3.1535
75250,-68.023,3.1745
75375,-67.963,3.1835
75500,-67.81,3.194
75625,-67.247,3.1885
75750,-65.828,3.2085
75875,-63.251,3.203
76000,-59.892,3.2005
76125,-57.198,3.2045
76250,-56.42,3.1905
76375,-56.819,3.1875
76500,-56.704,3.178
76625,-55.816,3.179
76750,-55.208,3.171
76875,-55.362,3.1555
77000,-55.674,3.134
77125,-55.608,3.131
77250,-55.358,3.1345
77375,-55.405,3.1315
77500,-55.942,3.132
77625,-56.803,3.1345
77750,-57.627,3.142
77875,-58.078,3.1465
78000,-58.059,3.145
78125,-57.882,3.1525
78250,-58.185,3.155
78375,-59.278,3.1515
78500,-60.65,3.146
78625,-61.481,3.147
78750,-61.429,3.1515
78875,-60.649,3.159
79000,-59.336,3.1565
79125,-57.673,3.15
79250,-55.921,3.15
79375,-54.329,3.142
79500,-53.15,3.131
79625,-52.567,3.1265
79750,-52.466,3.1265
79875,-52.488,3.1265
80000,-52.301,3.124
80125,-51.929,3.127
80250,-51.719,3.118
80375,-51.843,3.1205
80500,-52.115,3.1285
80625,-52.308,3.116
80750,-52.305,3.1215
80875,-51.983,3.124
81000,-51.374,3.124
81125,-50.824,3.1275
81250,-50.624,3.1215
81375,-50.583,3.1305
81500,-50.257,3.1315
81625,-49.424,3.1345
81750,-48.224,3.1255
81875,-47.036,3.125
82000,-46.131,3.1175
82125,-45.299,3.113
82250,-44.169,3.109
82375,-42.855,3.1085
82500,-41.831,3.101
82625,-41.31,3.0995
82750,-41.077,3.091
82875,-40.915,3.09
83000,-40.897,3.089
83125,-41.11,3.085
83250,-41.342,3.0905
83375,-41.319,3.0945
83500,-41.018,3.093
83625,-40.57,3.0845
83750,-40.066,3.081
83875,-39.498,3.082
84000,-38.783,3.0835
84125,-37.867,3.091
84250,-36.886,3.094
84375,-36.119,3.1
84500,-35.684,3.0985
84625,-35.443,3.1055
84750,-35.267,3.1055
84875,-35.179,3.1115
85000,-35.217,3.1165
85125,-35.379,3.1255
85250,-35.69,3.1375
85375,-36.306,3.159
85500,-37.433,3.168
85625,-39.208,3.19
85750,-41.859,3.229
85875,-45.569,3.2435
86000,-49.976,3.2285
86125,-54.101,3.243
86250,-57.062,3.257
86375,-59.014,3.26
86500,-61.086,3.2625
86625,-64.202,3.237
86750,-68.01,3.2135
86875,-71.26,3.1795
87000,-73.147,3.1705
87125,-73.752,3.162
87250,-73.56,3.16
87375,-73.214,3.1385
87500,-73.225,3.136
87625,-73.597,3.1365
87750,-74.079,3.142
87875,-74.456,3.128
88000,-74.381,3.123
88125,-73.525,3.122
88250,-71.959,3.1175
88375,-70.19,3.1205
88500,-68.704,3.1345
88625,-67.457,3.1385
88750,-66.278,3.1335
88875,-65.331,3.1335
89000,-64.648,3.1225
89125,-63.872,3.1275
89250,-62.75,3.126
89375,-61.258,3.1325
89500,-59.491,3.1325
89625,-57.793,3.1245
89750,-56.472,3.1175
89875,-55.415,3.107
90000,-54.535,3.1035
90125,-54.091,3.104
90250,-54.186,3.0895
90375,-54.54,3.086
90500,-54.769,3.09
90625,-54.654,3.084
90750,-54.358,3.077
90875,-54.221,3.073
91000,-54.248,3.0745
91125,-54.142,3.0725
91250,-53.767,3.0685
91375,-53.324,3.071
91500,-53.132,3.071
91625,-53.362,3.071
91750,-53.775,3.074
91875,-53.862,3.073
92000,-53.494,3.068
92125,-53.138,3.072
92250,-53.21,3.0685
92375,-53.59,3.0665
92500,-53.89,3.0665
92625,-53.91,3.07
92750,-53.756,3.0715
92875,-53.59,3.0675
93000,-53.44,3.0685
93125,-53.335,3.0705
93250,-53.398,3.074
93375,-53.648,3.075
93500,-53.853,3.0795
93625,-53.72,3.084
93750,-53.26,3.088
93875,-52.787,3.0935
94000,-52.446,3.0905
94125,-52.043,3.09
94250,-51.486,3.0885
94375,-51.047,3.0915
94500,-50.943,3.0965
94625,-51.005,3.1105
94750,-51.026,3.104
94875,-51.113,3.11
95000,-51.443,3.1015
95125,-51.789,3.1085
95250,-51.663,3.1085
95375,-50.97,3.0995
95500,-50.024,3.105
95625,-48.942,3.111
95750,-47.694,3.1075
95875,-46.683,3.112
96000,-46.47,3.119
96125,-46.865,3.114
96250,-47.033,3.1125
96375,-46.512,3.113
96500,-45.55,3.118
96625,-44.706,3.1185
96750,-44.355,3.114
96875,-44.159,3.115
97000,-43.379,3.117
97125,-42.106,3.121
97250,-41.39,3.122
97375,-41.701,3.121
97500,-42.186,3.117
97625,-41.876,3.1125
97750,-40.859,3.1045
97875,-39.825,3.102
98000,-39.098,3.102
98125,-38.599,3.101
98250,-38.339,3.1025
98375,-38.45,3.1035
98500,-38.779,3.103
98625,-38.911,3.1055
98750,-38.777,3.095
98875,-38.684,3.097
99000,-38.701,3.0995
99125,-38.615,3.098
99250,-38.345,3.1025
99375,-37.993,3.1055
99500,-37.722,3.1005
99625,-37.683,3.1015
99750,-37.822,3.0965
99875,-37.938,3.094
100000,-37.965,3.1015
100125,-37.918,3.1035
100250,-37.724,3.107
100375,-37.389,3.1065
100500,-37.166,3.105
100625,-37.296,3.1055
100750,-37.649,3.1045
100875,-37.864,3.112
101000,-37.837,3.1245
101125,-37.68,3.126
101250,-37.344,3.1285
101375,-36.766,3.1315
101500,-36.166,3.138
101625,-35.948,3.141
101750,-36.352,3.151
101875,-37.217,3.157
102000,-38.148,3.1595
102125,-38.779,3.1705
102250,-38.76,3.171
102375,-37.738,3.1705
102500,-35.623,3.1675
102625,-33.019,3.164
102750,-31.008,3.161
102875,-30.207,3.1665
103000,-30.382,3.175
103125,-31.044,3.184
103250,-31.965,3.192
103375,-32.99,3.191
103500,-33.852,3.1915
103625,-34.426,3.1915
103750,-34.741,3.188
103875,-34.79,3.179
104000,-34.796,3.1775
104125,-35.315,3.1795
104250,-36.557,3.181
104375,-37.994,3.1785
104500,-38.901,3.184
104625,-39.055,3.195
104750,-38.895,3.1955
104875,-39.106,3.1895
105000,-39.771,3.1905
105125,-39.991,3.1975
105250,-38.865,3.202
105375,-36.592,3.187
105500,-34.22,3.183
105625,-32.713,3.179
105750,-32.503,3.1935
105875,-33.241,3.1845
106000,-33.834,3.176
106125,-33.326,3.174
106250,-31.917,3.1715
106375,-30.742,3.162
106500,-30.572,3.156
106625,-31.16,3.17
106750,-31.761,3.189
106875,-31.759,3.1775
107000,-30.984,3.174
107125,-29.931,3.187
107250,-29.458,3.198
107375,-30.036,3.219
107500,-31.473,3.216
107625,-33.231,3.219
107750,-34.766,3.236
107875,-35.889,3.254
108000,-36.803,3.261
108125,-37.609,3.2765
108250,-38.207,3.294
108375,-38.735,3.291
108500,-39.547,3.2645
108625,-40.777,3.2645
108750,-42.448,3.2685
108875,-44.607,3.239
109000,-46.866,3.22
109125,-48.426,3.213
109250,-48.89,3.1975
109375,-48.739,3.1995
109500,-48.927,3.1785
109625,-49.989,3.182
109750,-51.762,3.176
109875,-53.712,3.166
110000,-55.107,3.176
110125,-55.431,3.1745
110250,-54.761,3.1955
110375,-53.236,3.1965
110500,-50.764,3.2015
110625,-47.566,3.2095
110750,-44.449,3.1985
110875,-42.225,3.192
111000,-41.005,3.188
111125,-40.264,3.1895
111250,-39.411,3.1825
111375,-38.339,3.1665
111500,-37.538,3.1615
111625,-37.619,3.158
111750,-38.669,3.1485
111875,-39.891,3.148
112000,-40.313,3.148
112125,-40.078,3.135
112250,-39.912,3.123
112375,-39.824,3.1215
112500,-39.649,3.1125
112625,-39.579,3.115
112750,-39.463,3.108
112875,-38.624,3.1175
113000,-36.807,3.1205
113125,-34.748,3.1135
113250,-33.447,3.117
113375,-33.224,3.1225
113500,-33.609,3.12
113625,-33.993,3.119
113750,-34.174,3.126
113875,-34.082,3.137
114000,-33.49,3.142
114125,-32.668,3.14
114250,-32.557,3.1425
114375,-33.607,3.139
114500,-35.265,3.1295
114625,-36.868,3.136
114750,-38.15,3.14
114875,-38.869,3.147
115000,-38.818,3.146
115125,-38.196,3.1375
115250,-37.552,3.1405
115375,-37.229,3.1445
115500,-37.049,3.1345
115625,-36.596,3.1375
115750,-35.686,3.1445
115875,-34.642,3.136
116000,-33.981,3.1245
116125,-33.816,3.1195
116250,-33.907,3.1175
116375,-34.039,3.124
116500,-34.028,3.117
116625,-33.602,3.1165
116750,-32.542,3.117
116875,-31.032,3.113
117000,-29.707,3.1055
117125,-29.077,3.106
117250,-29.003,3.1085
117375,-29.006,3.114
117500,-28.921,3.124
117625,-28.859,3.125
117750,-28.806,3.1275
117875,-28.656,3.135
118000,-28.3,3.147
118125,-27.488,3.1425
118250,-26.112,3.1515
118375,-24.582,3.145
118500,-23.291,3.1505
118625,-22.057,3.1505
118750,-20.738,3.1525
118875,-19.788,3.148
119000,-19.677,3.139
119125,-20.231,3.1335
119250,-20.77,3.1295
119375,-20.678,3.1255
119500,-19.833,3.1085
119625,-18.642,3.1085
119750,-17.648,3.1155
119875,-17,3.1155
120000,-16.46,3.1205
120125,-15.794,3.1095
120250,-14.973,3.1115
120375,-14.243,3.103
120500,-13.931,3.106
120625,-14.08,3.107
120750,-14.467,3.103
120875,-14.847,3.109
121000,-14.978,3.113
121125,-14.732,3.112
121250,-14.158,3.1105
121375,-13.289,3.1125
121500,-12.246,3.1105
121625,-11.461,3.1125
121750,-11.273,3.1045
121875,-11.416,3.0955
122000,-11.429,3.104
122125,-11.21,3.101
122250,-10.776,3.0945
122375,-10.069,3.1025
122500,-9.271,3.1065
122625,-8.795,3.103
122750,-8.817,3.104
122875,-8.936,3.1055
123000,-8.455,3.107
123125,-7.22,3.114
123250,-5.808,3.1155
123375,-4.768,3.107
123500,-4.297,3.106
123625,-4.471,3.114
123750,-5.048,3.113
123875,-5.424,3.111
124000,-5.282,3.1045
124125,-4.799,3.095
124250,-4.216,3.0905
124375,-3.752,3.0945
124500,-3.746,3.0905
124625,-4.385,3.0875
124750,-5.332,3.0965
124875,-5.876,3.0875
125000,-5.592,3.0875
125125,-4.769,3.093
125250,-4.067,3.0955
125375,-3.804,3.087
125500,-3.737,3.0835
125625,-3.461,3.0775
125750,-2.903,3.0795
125875,-2.439,3.087
126000,-2.377,3.0915
126125,-2.49,3.0905
126250,-2.338,3.0895
126375,-1.8,3.086
126500,-1.039,3.0835
126625,-0.193,3.086
126750,0.606,3.0865
126875,1.17,3.091
