Entity,Code,Year,OutdoorAirPollution,Executions,Meningitis,AlzheimersDementias,Parkinsons,NutritionalDeficiencies,Malaria,Drowning,InterpersonalViolence,MaternalDisorders,HIVAIDS,DrugUse,Tuberculosis,CardiovascularDiseases,LowerRespiratoryInfections,NeonatalDisorders,Alcoholism,Selfharm,Nature,Diarrhea,EnvironmentalHeatCold,Neoplasms,ConflictTerrorism,DiabetesMellitus,ChronicKidneyDisease,Poisoning,Malnutrition,Terrorism,RoadInjuries,ChronicRespiratoryDiseases,CirrhosisLiverDisease,DigestiveDiseases,Fire,Hepatitis
Israel,ISR,1990,2314,,43,728,232,12,0,66,114,11,39,51,51,12461,721,509,62,373,0,35,10,7083,100,822,958,8,6,57,533,1328,399,912,38,15
Israel,ISR,1991,2504,,40,779,249,13,0,66,109,9,48,49,54,13112,718,496,57,409,5,38,9,7583,76,928,997,8,7,31,556,1390,430,989,38,15
Israel,ISR,1992,2672,,42,834,265,13,0,65,110,8,49,47,60,13653,718,499,55,442,0,41,10,8083,109,1049,1024,9,7,38,589,1438,462,1065,39,16
Israel,ISR,1993,2700,,48,885,273,13,0,61,131,6,66,43,64,13590,653,457,50,447,0,41,9,8383,89,1120,985,9,7,,615,1427,466,1105,39,18
Israel,ISR,1994,2739,,41,945,285,14,0,59,134,8,38,38,71,13672,624,433,48,477,0,46,10,8781,177,1241,990,8,7,60,673,1420,489,1178,40,17
Israel,ISR,1995,2780,,38,1009,302,16,0,56,129,9,60,36,76,13702,666,423,46,512,0,50,11,9230,96,1448,1089,8,8,18,722,1423,542,1280,41,13
Israel,ISR,1996,2736,,37,1055,310,18,0,51,144,10,31,38,78,13278,731,414,51,547,0,54,12,9528,206,1695,1113,8,10,73,758,1406,569,1328,41,8
Israel,ISR,1997,2707,,44,1104,319,20,0,48,127,13,38,42,79,12905,786,415,54,581,17,61,13,9795,57,1976,1194,8,12,31,782,1413,596,1379,44,6
Israel,ISR,1998,2694,,42,1161,332,24,0,44,123,11,38,50,78,12780,807,409,60,566,0,83,16,10099,25,2179,1304,8,15,19,777,1444,614,1417,43,5
Israel,ISR,1999,2645,,42,1214,343,29,0,46,167,10,32,58,74,12324,824,406,71,549,2,110,17,10275,8,2377,1364,9,18,6,773,1498,640,1473,44,4
Israel,ISR,2000,2605,,39,1268,352,30,0,48,206,8,31,75,70,11969,853,398,75,559,3,128,15,10437,119,2506,1485,8,20,11,794,1523,655,1487,46,3
Israel,ISR,2001,2557,,38,1307,359,30,0,52,204,10,35,81,63,11574,839,379,78,568,2,142,14,10531,495,2557,1599,8,21,141,786,1510,652,1486,45,3
Israel,ISR,2002,2553,,38,1357,372,31,0,52,229,7,29,85,59,11459,883,386,76,557,2,154,14,10730,1213,2578,1736,8,22,337,784,1532,662,1530,45,3
Israel,ISR,2003,2557,,39,1412,384,33,0,49,222,5,33,80,53,11281,927,369,78,546,0,165,15,10875,625,2639,1780,8,24,156,757,1540,665,1551,44,3
Israel,ISR,2004,2506,,36,1472,392,31,0,49,251,7,30,75,48,11024,966,333,76,534,0,171,14,10900,573,2569,1890,8,23,59,734,1538,657,1571,43,3
Israel,ISR,2005,2508,,36,1548,408,31,0,49,249,6,33,66,45,11031,1037,315,74,543,0,181,14,11078,256,2540,1982,9,23,45,716,1573,666,1613,45,3
Israel,ISR,2006,2501,,35,1602,418,32,0,49,238,10,32,60,41,10831,1080,305,68,532,0,195,15,11273,682,2481,2023,8,24,57,672,1577,660,1631,44,3
Israel,ISR,2007,2562,,34,1672,437,36,0,49,196,8,50,58,39,10840,1164,293,66,534,0,219,16,11578,320,2487,2040,8,28,17,667,1605,661,1663,46,3
Israel,ISR,2008,2544,,34,1747,443,41,0,50,187,8,36,54,35,10516,1206,293,62,535,0,242,18,11656,751,2412,2028,8,32,34,649,1588,645,1652,47,3
Israel,ISR,2009,2525,,26,1829,450,43,0,47,192,7,38,50,32,10313,1220,293,61,539,0,259,16,11751,707,2328,2057,8,34,1,626,1582,641,1660,46,3
Israel,ISR,2010,2537,,26,1920,463,45,0,48,197,8,31,47,30,10307,1263,288,58,543,2,286,15,12037,68,2266,2138,8,37,4,615,1610,639,1684,61,3
Israel,ISR,2011,2585,,27,2016,487,46,0,46,195,5,41,45,28,10571,1343,278,58,531,0,310,15,12314,94,2284,2238,8,38,21,599,1675,664,1755,47,3
Israel,ISR,2012,2565,,26,2101,503,46,0,46,174,9,45,43,27,10581,1405,273,59,521,0,333,15,12499,87,2279,2308,8,38,14,583,1712,666,1780,46,3
Israel,ISR,2013,2533,,28,2198,516,46,0,47,173,13,46,46,24,10658,1454,257,58,514,4,348,15,12688,10,2277,2359,8,38,2,580,1740,672,1804,47,3
Israel,ISR,2014,2487,,28,2295,529,47,0,47,170,11,38,46,23,10737,1519,257,58,509,0,360,15,12855,1734,2281,2413,8,39,49,572,1774,673,1822,48,3
Israel,ISR,2015,2499,,28,2408,549,48,0,47,180,8,46,49,23,11063,1615,255,56,512,0,373,15,13222,16,2345,2514,8,39,20,593,1837,691,1879,47,3
Israel,ISR,2016,2395,,27,2503,556,49,0,48,165,9,40,51,23,11174,1648,259,58,516,0,371,15,13386,28,2353,2530,7,40,16,596,1846,692,1896,47,3
Israel,ISR,2017,2366,,27,2606,569,50,0,47,175,10,38,55,24,11553,1661,248,61,522,0,371,15,13700,27,2439,2586,8,41,3,600,1899,709,1944,48,3
Israel,ISR,2018,2427,,28,2700,590,51,0,47,180,9,38,59,25,12034,1708,238,63,533,12,378,15,14212,79,2558,2690,8,42,,616,1973,736,2015,49,3
Israel,ISR,2019,2479,,28,2777,605,52,0,47,184,9,37,63,26,12393,1739,226,65,545,0,386,16,14627,6,2647,2765,8,43,,610,2027,756,2067,50,3
World,OWID_WRL,1990,,,432524,560935,147238,757152,840553,460665,373124,302586,336387,56144,1777469,12068420,3320008,3005945,116435,739087,50248,2896268,55079,5755373,116364,661824,601307,88000,656314,7148,1113411,3093755,1012975,1855372,123213,166405
World,OWID_WRL,1991,,,428900,583499,150955,729479,859283,454574,384328,298443,431156,61900,1787128,12226555,3284673,2976440,122526,752871,156576,2904396,56668,5870802,85086,680395,613969,87858,631330,8429,1117666,3149299,1027439,1878516,124037,165338
World,OWID_WRL,1992,,,426722,606241,154979,700996,856695,447255,407830,299461,540625,66836,1808478,12444358,3260524,2951726,131712,770582,12036,2873098,59944,5998995,62093,703044,630556,88474,606325,9742,1126217,3208851,1043531,1904767,125091,163749
World,OWID_WRL,1993,,,421104,629938,160345,674537,862512,445641,433541,293727,665151,71617,1775454,12808626,3228705,2925823,143954,792206,21381,2799886,66828,6170027,62752,728897,647662,90073,584222,,1138091,3267665,1068326,1940585,127585,161946
World,OWID_WRL,1994,,,414064,652551,164474,650113,855983,443548,442677,293314,801004,76746,1754546,13032854,3189013,2897848,153917,817987,12760,2741561,72321,6299073,566518,752098,665781,90937,564338,7690,1154304,3298371,1089924,1968709,129705,159482
World,OWID_WRL,1995,,,410088,675206,168976,723386,862940,437488,444969,290718,939400,80010,1739497,13135903,3150488,2874948,156766,826232,19174,2674486,72653,6405941,67252,774357,684135,90395,641362,6103,1163463,3314399,1104987,1985322,128616,157222
World,OWID_WRL,1996,,,417495,697074,173920,672263,872785,423478,433394,287916,1062658,81732,1721637,13220307,3092945,2842377,156401,820445,14876,2616493,67615,6493740,87367,799921,705064,88899,594098,6966,1163484,3343716,1115851,1996581,126892,153459
World,OWID_WRL,1997,,,401124,717759,179448,647966,893230,413586,428051,289635,1175308,82605,1726761,13346704,3049387,2818851,155476,822959,17873,2580163,63840,6589264,99312,828638,731502,87408,572638,10924,1170473,3383022,1129580,2015735,126360,151946
World,OWID_WRL,1998,,,393598,739206,185199,620761,901666,407388,432739,289480,1304896,85105,1725031,13468412,3001489,2794868,156337,830149,48289,2545692,64874,6706446,108892,855347,759156,86719,549803,4688,1178491,3402606,1142133,2031693,124834,149613
World,OWID_WRL,1999,,,390356,762078,191651,593679,894094,397349,441394,289013,1441111,87365,1719853,13727835,2952374,2767575,160670,841164,69612,2498034,63391,6860918,141942,880473,785874,87371,527676,3393,1195982,3420830,1159185,2055304,126022,147069
World,OWID_WRL,2000,,,386211,787089,198655,568710,882382,387815,451150,287210,1560801,89718,1715139,13964207,2897435,2740621,166153,839548,8924,2441610,65468,7005380,120087,906946,815370,88840,506110,4403,1213031,3451228,1178262,2080656,126750,144174
World,OWID_WRL,2001,,,380120,815021,206313,542809,913037,376103,451994,282640,1663535,87355,1683058,14192854,2832200,2711523,170844,821049,29503,2379473,66760,7117805,67104,935847,843330,89326,483298,7729,1224896,3467076,1200898,2108906,126520,140192
World,OWID_WRL,2002,,,372500,846201,215053,517989,929531,362146,463129,276442,1747605,84779,1650182,14509075,2790426,2692641,175378,811501,8918,2313613,69953,7257594,66446,971561,874671,89958,462305,4805,1237786,3491562,1228256,2145111,125618,134987
World,OWID_WRL,2003,,,369377,877539,222375,417494,960008,347930,447514,269609,1809961,82283,1612941,14718320,2748272,2672560,178952,814830,35512,2243904,71973,7392016,71091,1001334,902780,90675,365960,3317,1248905,3492938,1252440,2174886,125826,130208
World,OWID_WRL,2004,,,363658,909696,227822,394175,961129,338599,441673,265466,1844490,81873,1559197,14753751,2698805,2649140,180550,819584,242938,2167428,67154,7508315,70562,1019233,923527,91491,345736,5743,1259242,3464172,1267253,2189105,123748,127996
World,OWID_WRL,2005,,,362012,946177,236635,376958,940883,332880,436805,264605,1833561,85023,1533147,15003467,2679572,2621886,181768,826430,88728,2126871,68388,7657499,59555,1052058,957090,92101,330056,6331,1269937,3480523,1294673,2227349,124266,128244
World,OWID_WRL,2006,,,359179,982881,242887,362686,942101,320055,428234,259454,1769283,85452,1500031,14999652,2647662,2588385,177815,814440,19937,2110230,64640,7726714,74623,1072209,982396,89895,316414,9380,1268190,3462798,1300973,2236529,121366,124781
World,OWID_WRL,2007,,,352953,1022661,250616,347611,940521,312076,420911,252743,1670624,85994,1470772,15125504,2618954,2550490,174060,802831,16229,2077233,59800,7854808,71352,1093962,1010984,88513,302283,12824,1274027,3468795,1312671,2252604,119694,120548
World,OWID_WRL,2008,,,343651,1065922,260531,335821,933255,305047,423710,248086,1560729,87107,1448161,15410390,2604854,2517065,171679,797878,235973,2045625,57777,8031392,64747,1123503,1046451,88731,290880,9157,1285039,3511600,1331276,2281303,118372,117313
World,OWID_WRL,2009,,,337066,1110040,267889,323074,918165,297046,423685,244366,1454432,87058,1406123,15561020,2573121,2476333,166803,786196,11000,1978087,54847,8171963,71633,1143635,1074778,87937,279514,9273,1282368,3499545,1331125,2281052,116271,112681
World,OWID_WRL,2010,,,326965,1156603,276340,322389,910161,291003,418385,239943,1365783,88106,1365562,15846711,2547333,2430201,164386,784770,248861,1929559,58675,8333679,54505,1166915,1108207,87669,279325,7827,1279539,3511351,1341426,2299575,115424,109596
World,OWID_WRL,2011,,,312917,1201821,284645,314533,868828,281285,414873,234859,1284845,89350,1332306,16046900,2529593,2384917,161440,777527,31859,1903750,51648,8473252,62949,1199277,1143989,86135,271700,8246,1268433,3540615,1349614,2317749,113760,106585
World,OWID_WRL,2012,,,300277,1248210,293287,298307,806421,275763,418744,227356,1199767,90967,1318781,16254038,2527752,2341224,159452,767331,8977,1835542,51427,8616504,112387,1237904,1177089,84631,255724,15497,1256149,3559736,1355105,2330760,112180,104623
World,OWID_WRL,2013,,,289674,1295416,303651,291633,752017,266989,416649,223652,1127213,94594,1308067,16499034,2538752,2300572,158918,755876,26931,1788859,49519,8761914,117456,1278750,1215013,83656,249607,22273,1232930,3612298,1359901,2350277,111913,98933
World,OWID_WRL,2014,,,280607,1344496,313104,284764,724533,258658,414448,215061,1073944,99318,1295393,16724998,2533818,2238670,159364,745067,7416,1726438,48791,8925062,188089,1321981,1248226,82015,243129,44490,1214700,3653162,1364180,2365400,110198,92878
World,OWID_WRL,2015,,,267947,1395701,321963,278979,703065,254407,417393,208626,1030605,105431,1268132,17099164,2534793,2184319,160786,742962,15591,1679781,51682,9138501,167164,1367511,1287809,81013,237901,38853,1202132,3692439,1385734,2405760,110255,88786
World,OWID_WRL,2016,,,261408,1452620,330916,273382,660569,248984,413573,203912,996978,112899,1250088,17408326,2517869,2100235,162123,743255,8699,1640560,47509,9341881,161785,1414338,1325894,79987,232715,34871,1194268,3742353,1404943,2441045,109936,84761
World,OWID_WRL,2017,,,250281,1510447,339540,267638,629854,242003,418221,199369,947838,118356,1232232,17695752,2489649,2016024,162681,743950,13399,1632901,46292,9534619,130850,1456169,1352271,78518,227199,26445,1189003,3797538,1426787,2479463,109262,82507
World,OWID_WRL,2018,,,241812,1569449,351517,258265,631744,240434,420305,198237,893147,123130,1205461,18124018,2488173,1943447,165543,755457,11101,1578639,46295,9797018,103496,1503162,1388601,77847,218382,,1196641,3888249,1448499,2516671,110739,80924
World,OWID_WRL,2019,,,236222,1623276,362907,251577,643381,237242,415180,196471,863837,128083,1179766,18562510,2493200,1882438,168015,759028,6076,1534443,47461,10079637,62985,1551170,1427232,77162,212242,,1198289,3974315,1472012,2557689,111292,79176
World (excluding China),,2007,,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2008,,2390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2009,,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2010,,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2011,,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2012,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2013,,767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2014,,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2015,,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World (excluding China),,2016,,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
World Bank High Income,,1990,,,8568,259091,55008,9351,96,24031,41172,2248,40955,13219,34207,3592573,305854,66182,27885,155850,856,8759,5818,2136043,1667,176546,127338,7465,7246,,193137,392727,201622,386987,16755,1283
World Bank High Income,,1991,,,8206,271968,56319,9466,151,23836,42170,2156,48979,14345,32728,3577793,310208,62816,28907,156594,835,8536,5901,2169716,3279,181157,129202,7355,7393,,192173,398250,203220,389930,16719,1276
World Bank High Income,,1992,,,7749,284715,57508,9646,174,23519,41688,2064,56210,15399,31261,3546205,316223,59278,29871,156661,299,8383,5835,2198740,552,184733,131470,7024,7594,,188590,402777,204180,391984,16201,1267
World Bank High Income,,1993,,,7516,297919,59281,9991,186,23383,42184,1977,63117,16561,30253,3556836,328895,55984,30804,157811,1022,8326,6317,2240011,319,190659,135454,6812,7914,,186166,412816,206567,397067,16424,1264
World Bank High Income,,1994,,,7266,310010,60635,10295,69,23433,41782,1937,70541,17756,29438,3532386,334122,53415,31735,158577,587,8312,6289,2268277,494,194593,138851,6529,8224,,184290,417718,207584,399896,16308,1268
World Bank High Income,,1995,,,7054,322227,62738,10775,97,23407,39937,1848,72807,18907,28889,3536632,343058,50341,32336,159796,6012,8485,6970,2311022,503,199583,144594,6211,8722,,182477,427226,209150,404422,15880,1298
World Bank High Income,,1996,,,6787,331957,64438,11143,83,22705,37528,1800,58218,19988,27949,3498899,346033,48083,32506,159155,858,8628,6277,2330437,431,203178,148769,5847,9137,,178630,432060,207821,404509,15994,1333
World Bank High Income,,1997,,,6606,340163,66122,11566,92,22549,35861,1795,34429,21385,26861,3460710,349715,46022,32763,160051,853,8928,6208,2350561,265,205868,153136,5512,9558,,175504,436807,206985,405218,15451,1373
World Bank High Income,,1998,,,6413,348669,68544,12160,198,22558,34715,1696,27401,23013,26228,3451714,354289,44541,33198,162664,1556,9602,6352,2391485,409,211090,159951,5199,10115,,172487,446401,208218,409789,14929,1418
World Bank High Income,,1999,,,6297,357625,71201,12775,54,22375,33633,1682,28616,25051,25651,3446015,356287,43429,33661,163490,3384,10728,6374,2433272,173,217175,167784,4943,10699,,169538,457550,208844,413872,14765,1457
World Bank High Income,,2000,,,6062,367349,73286,13021,28,21947,33068,1683,27087,26985,24487,3386468,348459,42377,33988,163238,520,12145,6076,2454347,270,220622,175327,4734,10997,,165531,458057,207450,413893,14300,1410
World Bank High Income,,2001,,,5869,378978,75889,13079,12,21696,33465,1653,26331,28900,23356,3350083,338901,40985,34582,164200,649,13641,6322,2475880,4905,224657,182620,4648,11104,,162056,460639,207827,416594,14535,1333
World Bank High Income,,2002,,,5533,392330,79109,13240,10,21474,33642,1628,25917,31235,22341,3336445,339715,40156,35082,165718,862,15570,6379,2505924,1345,229420,190586,4585,11273,,159186,468108,208931,421306,14014,1264
World Bank High Income,,2003,,,5410,406013,82197,13326,8,21276,33313,1745,25652,33583,21492,3314306,341688,39399,35720,167502,704,17759,8178,2537506,1358,233210,198355,4574,11373,,155939,475411,210477,425937,14879,1189
World Bank High Income,,2004,,,5187,418668,83891,13025,6,20980,33054,1861,24519,35594,20473,3229057,337428,38276,36350,166967,801,19775,6567,2549944,2117,231010,203699,4484,11142,,151398,473038,208275,423883,13555,1097
World Bank High Income,,2005,,,5093,434650,87080,13168,5,21123,33411,1953,23658,37964,20026,3213382,343642,37557,37051,168746,4419,22246,6717,2583797,1405,232596,212779,4530,11268,,149392,481374,209748,428707,13587,1006
World Bank High Income,,2006,,,4897,449698,89544,13144,5,21037,33668,2016,22596,39842,19376,3171841,342709,36935,37664,169245,620,24526,7314,2608605,1799,230107,220202,4517,11254,,146362,483950,209307,430560,13562,914
World Bank High Income,,2007,,,4822,466455,92604,13358,5,21064,32769,2027,21678,41199,18777,3150975,345679,36462,38190,170961,610,26590,6742,2648156,1557,229305,229096,4498,11446,,143582,492217,210265,434774,13715,877
World Bank High Income,,2008,,,4718,484132,95839,13666,3,20987,32162,2078,20277,42575,18098,3135523,350632,35221,38684,172902,485,28367,6590,2688568,1399,228351,238003,4451,11716,,139758,501990,211153,439115,13163,850
World Bank High Income,,2009,,,4580,501108,98416,13894,3,20855,31137,2097,18975,43978,17444,3112355,352619,33575,38959,174515,1519,29556,6746,2720222,1413,226538,245612,4390,11933,,135672,508314,211474,441561,13079,839
World Bank High Income,,2010,,,4483,520681,101193,14257,3,20837,30087,1968,17324,45310,17002,3102488,357903,31922,39372,174280,1111,30614,7047,2741923,883,224308,255460,4314,12263,,131772,516100,211070,444132,12657,821
World Bank High Income,,2011,,,4285,540189,104516,14678,3,20933,29817,1972,16370,47676,16699,3125732,367268,30991,39896,174280,19765,31463,6777,2781519,791,223681,266080,4272,12628,,129883,528947,212729,450566,12676,809
World Bank High Income,,2012,,,4210,558154,107817,15143,3,20865,29799,1993,15617,50061,16345,3151427,376513,30110,40442,172761,659,32335,6954,2818283,495,223537,275765,4229,13055,,127812,541603,213606,456020,12358,790
World Bank High Income,,2013,,,4151,574664,110456,15532,2,20670,28570,2053,15075,53478,15880,3165952,383810,29330,40976,171300,578,32872,6622,2847682,225,222866,284180,4162,13435,,125332,551638,214396,459954,12782,764
World Bank High Income,,2014,,,4086,590861,112704,15976,2,20449,28187,2037,14431,58062,15429,3175341,389008,28796,41538,169749,750,33106,6454,2873609,2088,223203,292245,4129,13866,,124541,559399,214982,463150,12431,727
World Bank High Income,,2015,,,4100,610933,116306,16860,2,20473,29496,2044,14252,64253,15258,3249318,401977,28311,42298,169786,795,33886,6752,2922845,790,228335,303340,4143,14662,,125389,576826,218561,472962,12459,716
World Bank High Income,,2016,,,4080,628243,118317,17416,3,20568,30363,2071,14599,71638,15189,3282276,408406,27672,42872,168883,921,34022,6542,2956430,786,231688,309871,4157,15189,,126498,585725,220178,478207,12489,707
World Bank High Income,,2017,,,4045,644658,120137,17537,3,20334,29923,1882,14373,76520,15367,3332457,414193,26297,42766,167064,2914,33561,6415,2994910,95,237209,311765,4113,15318,,127160,594172,221230,482799,12407,731
World Bank High Income,,2018,,,4047,662914,123787,17950,2,20176,29235,1810,14099,79288,15584,3435746,428607,25125,42782,166643,721,33845,6630,3064309,113,245170,319626,4096,15692,,128053,610660,224289,492633,12546,746
World Bank High Income,,2019,,,4052,678988,126925,18390,3,20083,28841,1738,13795,82588,15849,3525196,441234,24249,42742,165947,275,34219,8082,3131800,41,252705,327660,4073,16092,,128599,625560,226895,501679,12394,757
World Bank Low Income,,1990,,,114623,15071,4534,188448,369731,26664,21065,60674,203770,776,310896,442556,543089,449307,2797,28478,242,531248,3192,191361,75391,49216,43645,13212,181654,,82028,117865,79174,132353,12479,14813
World Bank Low Income,,1991,,,114812,15569,4647,187392,376937,26139,22476,60775,253549,806,314449,451315,543216,453044,2845,28981,1967,539324,3165,195205,41869,50180,44433,13201,180685,,83597,119824,80441,134432,12525,14940
World Bank Low Income,,1992,,,116674,16112,4772,188294,377923,26087,27175,61349,308423,844,318041,461244,547510,459290,2899,29595,623,543884,3133,199334,11228,51270,45354,13280,181641,,85405,121826,81756,136688,12641,15248
World Bank Low Income,,1993,,,117168,16660,4898,188121,385475,25982,27492,61951,367068,880,321506,471042,550486,465881,2946,30173,1667,545840,3177,202816,9175,52223,46178,13244,181537,,86823,123933,82829,138540,12643,15583
