Entity,Code,Year,OutdoorAirPollution,Executions,Meningitis,AlzheimersDementias,Parkinsons,NutritionalDeficiencies,Malaria,Drowning,InterpersonalViolence,MaternalDisorders,HIVAIDS,DrugUse,Tuberculosis,CardiovascularDiseases,LowerRespiratoryInfections,NeonatalDisorders,Alcoholism,Selfharm,Nature,Diarrhea,EnvironmentalHeatCold,Neoplasms,ConflictTerrorism,DiabetesMellitus,ChronicKidneyDisease,Poisoning,Malnutrition,Terrorism,RoadInjuries,ChronicRespiratoryDiseases,CirrhosisLiverDisease,DigestiveDiseases,Fire,Hepatitis
World Bank Low Income,,1994,,,115897,17208,5019,186830,387320,25719,25651,62378,427183,910,325875,480247,551879,471778,2994,30745,2053,566581,3218,206278,534158,53240,46982,13204,180335,,88117,125868,83968,140489,12644,15895
World Bank Low Income,,1995,,,117665,17704,5150,282597,395446,25535,27354,62952,486309,941,330885,491028,551771,477784,3057,31402,845,558691,3254,210339,30306,54553,47858,13149,276139,,89748,127739,85505,142928,12602,16168
World Bank Low Income,,1996,,,120481,18196,5260,255482,405853,24952,29116,63651,541327,968,333387,499875,548708,482899,3121,31995,1171,558087,3284,213906,57356,55814,48702,13059,249160,,91336,128952,86918,145311,12555,16515
World Bank Low Income,,1997,,,118902,18744,5374,252587,414732,24819,27499,63788,591534,993,332227,507394,545668,487844,3170,32522,3244,558114,3300,217210,57903,56908,49393,13101,246423,,92114,130107,88046,147250,12551,16830
World Bank Low Income,,1998,,,117184,19371,5510,250013,424877,24599,29150,64719,635461,1019,332420,516444,541521,491812,3221,33233,7874,554131,3328,221354,62899,58345,50299,12996,243995,,93570,131551,89585,149789,12616,17121
World Bank Low Income,,1999,,,118431,20003,5631,247171,431846,24176,30682,65287,671661,1039,331591,524092,537265,494006,3267,33691,647,545389,3348,224933,95834,59439,51041,12984,241346,,94691,132790,91047,152193,12699,17361
World Bank Low Income,,2000,,,119156,20694,5787,242288,446800,23929,30932,65553,700601,1053,332735,531789,531132,496017,3299,33960,1392,533522,3370,227985,81182,60402,51810,12905,236787,,95683,133902,91919,153700,12809,17592
World Bank Low Income,,2001,,,120533,21314,5920,235744,457176,23737,30461,66017,720318,1066,329929,539543,522468,498604,3332,34233,677,520569,3717,231482,29799,61427,52645,12863,230635,,96639,134807,92649,154795,12784,17727
World Bank Low Income,,2002,,,118272,22130,6103,231027,459569,23547,34444,66933,732593,1082,324734,548282,515478,502021,3373,34501,2271,507618,3476,235867,34855,62590,53542,12887,226214,,97550,135998,93298,155920,12913,17649
World Bank Low Income,,2003,,,121062,22908,6272,150829,470990,23903,33197,68388,738672,1112,320463,558246,509079,506759,3441,35001,834,490943,3463,241257,30631,64020,54571,12959,146300,,99671,138000,94486,157732,13038,17897
World Bank Low Income,,2004,,,119101,23835,6477,144571,468821,23887,32530,69784,736401,1147,314962,569830,500774,511018,3511,35538,6375,475060,3485,247167,23109,65477,55610,13014,140245,,101062,140477,95730,159651,13180,17962
World Bank Low Income,,2005,,,119209,24773,6672,141601,452544,24191,32865,70503,715394,1181,309830,579676,495397,516176,3573,36002,1297,466235,3522,252515,20269,66672,56484,13157,137438,,102440,142699,96868,161392,13411,17932
World Bank Low Income,,2006,,,118412,25762,6889,136148,444650,24198,34432,70834,673288,1215,308228,591599,489415,517480,3641,36481,2023,457712,3546,257962,12114,68027,57519,13215,132150,,103716,145397,97281,163071,13595,17332
World Bank Low Income,,2007,,,116632,26642,7075,130457,436668,24244,34360,71571,621730,1262,307009,603553,483061,519473,3719,37055,1759,448438,3601,263741,13809,69393,58538,13307,126628,,104939,148012,97900,164997,13702,16201
World Bank Low Income,,2008,,,112840,27683,7316,124616,424037,23825,35229,72221,570600,1326,305401,617891,475060,519723,3808,37733,2578,438504,3641,270173,15690,71085,59785,13306,120935,,106088,150706,98775,167185,13857,15043
World Bank Low Income,,2009,,,108213,28700,7544,118974,423742,23664,36435,72746,527957,1399,302872,631409,467032,519396,3909,38470,498,428285,3685,277065,23444,72911,61310,13286,115408,,107141,153366,99972,169698,13895,14141
World Bank Low Income,,2010,,,107323,29787,7775,123710,422522,23439,36892,72983,489264,1442,298296,642426,459528,518525,3982,39108,223943,412001,3696,283693,15505,74562,62638,13242,119889,,108241,155817,101198,171855,13936,13622
World Bank Low Income,,2011,,,101165,30953,8024,120326,401908,23143,38195,73129,454559,1506,295095,657435,453119,517350,4086,39826,550,408073,3747,291516,14475,76701,64214,13272,116566,,109643,158896,102108,174713,14043,13284
World Bank Low Income,,2012,,,99936,32131,8280,106609,385628,23077,39136,72204,420027,1563,292773,672845,448283,514865,4188,40446,1107,391612,3770,299867,19208,78897,65792,13351,103217,,111041,161975,103276,177734,14185,12973
World Bank Low Income,,2013,,,93466,33345,8535,104357,370737,23110,39625,71581,384572,1633,291272,686978,445114,512256,4296,41125,1076,384567,3810,309065,26457,81143,67634,13439,100976,,112573,164863,105041,181511,14374,12757
World Bank Low Income,,2014,,,91100,34475,8748,102055,342915,22908,41283,70944,353348,1706,291041,701268,442233,508091,4413,41960,1529,379105,3807,318084,31136,83287,69517,13521,98695,,114159,167505,106831,185251,14521,12549
World Bank Low Income,,2015,,,87573,35746,9007,99555,333855,22811,42091,69801,328322,1775,289125,718428,437440,502042,4518,42714,10320,372523,3829,326474,32251,85420,71289,13511,96207,,115922,170132,108453,188550,14614,12330
World Bank Low Income,,2016,,,86785,37079,9250,98341,321766,22696,44044,69381,307608,1864,285487,734742,432378,498667,4638,43779,2084,368488,3851,336295,37110,87936,73241,13539,94976,,117121,173027,111037,193154,14791,12190
World Bank Low Income,,2017,,,85255,38588,9541,96454,305776,22157,46384,68826,283489,1958,279999,752894,424079,491328,4763,44809,2844,363663,3856,346524,35808,90392,75018,13512,93059,,117987,176103,114465,198328,14741,12081
World Bank Low Income,,2018,,,83057,40203,9894,91831,294963,21753,48039,68402,259631,2055,275591,773350,417475,485601,4913,45995,892,347428,3913,358058,38580,93493,77075,13514,88479,,119318,179575,116822,201736,14768,11844
World Bank Low Income,,2019,,,81439,41753,10219,87986,300492,21340,45880,68082,247763,2144,271887,792037,411796,478720,5050,47027,1744,334806,3860,368474,31641,96319,78939,13476,84657,,120076,182658,119019,204859,14831,11692
World Bank Lower Middle Income,,1990,,,241139,95964,32781,463736,455394,196568,102238,201948,65544,7129,1154191,3189411,1596857,1819818,30371,232340,6992,2111971,17243,1040609,29039,224766,223877,26237,378617,,351276,1020780,426555,753417,49595,117397
World Bank Lower Middle Income,,1991,,,239606,98776,33820,438797,465739,194830,104704,200636,93519,7423,1170583,3279605,1579771,1808775,31999,238790,150224,2125392,18105,1067467,23780,232831,230788,26623,355969,,357221,1042279,433182,764780,50279,117302
World Bank Lower Middle Income,,1992,,,238400,101594,34866,415035,463295,192251,110304,203156,128490,7721,1193889,3377225,1566369,1803543,33578,245397,8168,2107536,18599,1096759,26579,242379,238449,27110,335442,,362667,1063014,440600,777664,50899,116959
World Bank Lower Middle Income,,1993,,,234614,104752,36015,392581,463878,190563,116333,198895,170112,8058,1165619,3469426,1543417,1794267,35342,249130,14491,2047171,18563,1125937,38788,251495,244669,27217,317182,,367226,1078176,451896,792937,51340,116430
World Bank Lower Middle Income,,1994,,,230967,108030,37038,372959,457159,189185,116029,196747,217098,8436,1144105,3557202,1522772,1783500,37134,254810,6034,1981028,19169,1156751,13985,260969,251304,27544,301875,,371710,1090147,464251,808145,51757,115302
World Bank Lower Middle Income,,1995,,,228922,111256,38009,354344,455373,187092,118249,194132,268632,8776,1132717,3631816,1508004,1779889,38557,259811,8310,1935397,20295,1184786,13388,269797,257026,27896,286819,,374351,1099345,473222,818389,52646,114348
World Bank Lower Middle Income,,1996,,,237503,114665,39327,333557,456547,182472,118378,192076,322878,9052,1125862,3721485,1484950,1766383,39436,264944,5954,1890614,19719,1214593,15211,282394,266750,27772,269518,,376424,1123576,484035,832440,52519,111826
World Bank Lower Middle Income,,1997,,,226774,118283,41387,315451,468770,181656,120665,194598,378468,9513,1142892,3865989,1475360,1761499,40328,276992,7596,1865859,19518,1255326,28311,299715,281537,27571,253865,,387029,1173259,498982,856282,53753,111488
World Bank Lower Middle Income,,1998,,,224687,121580,42728,293709,466549,179732,121877,193719,436513,9728,1145488,3934783,1458813,1756297,40324,283394,31650,1844121,21800,1275609,34481,312428,291393,27162,236292,,393433,1192130,507221,866208,53298,110231
World Bank Lower Middle Income,,1999,,,223595,124515,43365,272375,452775,175545,124470,193213,494838,10066,1142896,3990781,1436191,1750006,40685,292243,13436,1814215,19345,1294875,23172,320363,297362,27245,219628,,400330,1186469,515689,873916,53795,108476
World Bank Lower Middle Income,,2000,,,221822,128153,44921,255588,427840,171300,127230,192392,546644,10345,1137007,4088216,1416863,1743299,41063,296388,5112,1778032,19876,1325396,25484,334379,307239,27402,205868,,404568,1204876,527364,886305,53912,107041
World Bank Lower Middle Income,,2001,,,217331,132331,46929,239242,448718,166887,126238,189144,591278,10559,1114839,4196330,1394298,1734506,41280,294140,24702,1736857,19695,1353596,22427,350323,317155,26990,192321,,408851,1232789,541169,900634,53818,105035
World Bank Lower Middle Income,,2002,,,214608,136994,48875,221753,464214,159063,125557,183649,628137,10839,1090113,4311989,1375695,1734139,41605,291113,2649,1689280,22073,1384306,21853,365996,326717,26743,178523,,410352,1253847,555009,913422,53288,101952
World Bank Lower Middle Income,,2003,,,210576,141426,50057,203722,483902,152152,124221,176563,654699,11058,1062058,4373877,1351003,1728973,41725,284906,2750,1640199,21686,1403945,20068,378428,334560,26283,164545,,408800,1256213,565716,919905,52147,99237
World Bank Lower Middle Income,,2004,,,208516,146333,50573,189701,487738,149059,127394,171826,670951,11491,1020977,4385793,1325052,1721167,41992,285606,223738,1583760,19752,1420442,23466,386286,339413,26277,153407,,411117,1233149,574333,922758,51835,98529
World Bank Lower Middle Income,,2005,,,208137,152549,53269,177442,484110,148365,129594,170895,671418,12354,1006878,4528066,1312828,1707496,42677,292146,80483,1555047,20324,1467610,9983,405985,353971,26023,142480,,420453,1271604,591405,943981,51818,99857
World Bank Lower Middle Income,,2006,,,207843,158927,56058,170581,493541,145603,129566,166478,655488,12149,989994,4668128,1303048,1689778,42950,295387,14156,1549857,20307,1510490,17154,425821,366257,25667,135824,,429556,1322102,602122,958319,51702,97753
World Bank Lower Middle Income,,2007,,,204449,165074,58358,162598,500439,142643,130616,160340,622179,12326,976913,4807317,1285683,1665159,43382,294022,10919,1529352,19478,1558447,15062,442916,377122,25315,128435,,440438,1360317,614890,973467,51591,95297
World Bank Lower Middle Income,,2008,,,199815,171928,60933,157024,506424,140220,131868,155757,581806,12482,965742,4949185,1271972,1645809,43437,292891,142963,1509755,18967,1608516,29322,461150,388705,25133,123091,,451681,1399095,627639,988697,51494,93590
World Bank Lower Middle Income,,2009,,,198534,178670,61247,149900,491686,135304,132081,151609,543020,12407,936307,4976345,1240141,1620400,41921,287691,7184,1454818,18204,1636656,34159,469249,392771,24353,117271,,453419,1377437,626986,982118,50664,90195
World Bank Lower Middle Income,,2010,,,190535,186026,62186,144188,484715,132344,129876,148539,514871,12357,908241,5070578,1211088,1592740,41338,291470,6441,1424408,18192,1684689,27777,482523,400662,23943,112394,,457696,1379836,635577,990619,50768,87915
World Bank Lower Middle Income,,2011,,,183952,195160,64410,139534,464136,129663,129215,144603,490785,12451,887772,5189665,1190935,1560633,41367,295671,5530,1404187,18141,1737976,32123,505328,413236,23481,107967,,464526,1415800,646457,1004133,50686,85459
World Bank Lower Middle Income,,2012,,,173362,207292,67324,136550,417978,127347,132412,138770,465313,12413,884008,5331986,1182743,1527713,41063,295733,5001,1353924,18523,1791366,80323,532773,424204,22976,104953,,470563,1448821,652037,1008634,50409,83957
World Bank Lower Middle Income,,2013,,,169960,221461,72074,131055,378408,122183,133637,135979,441635,13092,881440,5470216,1184801,1503572,41050,291618,22840,1315381,18768,1854951,67496,557743,438557,22779,100167,,464353,1508778,655115,1018053,49987,78570
World Bank Lower Middle Income,,2014,,,164035,234248,75625,125532,378942,115386,132996,128483,420878,13371,874349,5549551,1170540,1460200,40606,283902,2725,1259562,18099,1904365,110775,580731,449871,21679,95176,,456447,1548136,653708,1017821,49232,72816
World Bank Lower Middle Income,,2015,,,155499,245056,77847,120585,366737,113764,135522,123547,396463,14289,853357,5746363,1156783,1420562,41969,285735,3161,1219852,22122,1993523,99275,603086,465111,21858,91044,,456909,1573315,669451,1040433,49970,68973
World Bank Lower Middle Income,,2016,,,150263,256619,80292,114287,336273,109634,128482,119684,373906,14796,841362,5855152,1126248,1351749,42915,286917,2939,1185161,18471,2058494,84830,624499,479564,21474,85497,,456200,1593485,680983,1056669,50041,65055
World Bank Lower Middle Income,,2017,,,141452,269652,83484,109496,321334,106271,129504,116516,354991,15294,833491,5985475,1100431,1296189,43973,290065,3907,1183248,18397,2119846,64655,643391,491314,21256,81142,,457479,1629099,696334,1080854,50074,63034
World Bank Lower Middle Income,,2018,,,135914,284473,88017,103855,334156,106798,131765,116262,343433,15993,814239,6160202,1089628,1246590,45099,300230,8914,1145670,18386,2197070,57306,669180,507178,21236,76061,,465283,1680573,709388,1100326,51060,61914
World Bank Lower Middle Income,,2019,,,132489,297323,91120,99836,339666,105799,131413,115199,338846,16585,793679,6291011,1079601,1205270,46164,304890,3343,1113866,18171,2268203,27938,690921,520920,21096,72684,,469269,1709153,721089,1116675,51471,60419
World Bank Upper Middle Income,,1990,,,67918,190487,54833,95265,15078,213193,208394,37548,25797,35009,277433,4837586,872449,669271,55337,322130,42124,242976,28814,2384551,10189,210538,206063,41042,88462,,486325,1561374,305066,581625,44295,32856
World Bank Upper Middle Income,,1991,,,65988,196850,56085,93483,16158,209568,214715,34709,34681,39314,268628,4911508,849733,650448,58729,328214,3525,229840,29485,2435556,16089,215448,209155,40638,86959,,484026,1587919,310031,588374,44424,31765
World Bank Upper Middle Income,,1992,,,63617,203470,57746,87690,15027,205198,228391,32725,46948,42857,264547,5053249,828678,628263,65317,338631,2940,212003,32365,2501243,23703,223854,214883,41019,81333,,488901,1620185,316419,597414,45259,30221
World Bank Upper Middle Income,,1993,,,61532,210243,60059,83524,12675,205515,247252,30737,64166,46104,257335,5304754,804160,608342,74814,354787,4189,197274,38759,2598277,14451,233679,220948,42758,77285,,497215,1651667,326446,611004,47089,28616
World Bank Upper Middle Income,,1994,,,59668,216925,61690,79720,11120,205018,258930,32084,85346,49627,254390,5456392,778504,587813,82004,373547,4042,184374,43633,2664737,17443,242433,228223,43621,73610,,509521,1663546,333525,619133,48906,26966
World Bank Upper Middle Income,,1995,,,56187,223626,62984,75371,11708,201264,259137,31617,110686,51367,246269,5469718,745925,565591,82764,374914,4002,170683,42123,2696704,23013,249535,234223,43101,69399,,516213,1658973,336504,618524,47398,25357
World Bank Upper Middle Income,,1996,,,52486,231847,64795,71794,9994,193162,248081,30218,139153,51703,233707,5493248,711525,543678,81286,364039,6882,157984,38323,2731647,14327,257621,240395,42184,66010,,516416,1657989,336464,613251,45736,23735
World Bank Upper Middle Income,,1997,,,48609,240146,66462,68084,9350,184378,243726,29280,169722,50689,224053,5505751,676912,522153,79160,353084,6140,146125,34802,2762957,12784,265221,246977,41186,62528,,515149,1641687,334949,605907,44515,22206
World Bank Upper Middle Income,,1998,,,45087,249146,68311,64610,9711,180316,246693,29172,204280,51320,220170,5558486,645123,500888,79537,350546,7054,136732,33383,2814691,11056,272531,257035,41327,59147,,518321,1631333,336480,604814,43901,20796
World Bank Upper Middle Income,,1999,,,41811,259477,71344,61101,9111,175074,252305,28653,244660,51180,218995,5759825,620876,478805,82998,351427,52124,126629,34311,2904438,22684,282519,269186,42163,55760,,530735,1642800,342969,614216,44672,19728
World Bank Upper Middle Income,,2000,,,38955,270419,74548,57566,7393,170459,259623,27402,285057,51306,220197,5950544,599236,457599,87743,345654,1894,116874,36134,2994177,13076,290542,280472,43763,52223,,546567,1653162,350891,625645,45637,18086
World Bank Upper Middle Income,,2001,,,36175,281906,77459,54503,6804,163602,261520,25645,324135,46799,214230,6099556,574787,436099,91590,328170,3467,107401,37013,3053282,9940,298417,290364,44789,49011,,556666,1637589,358603,635754,45292,16053
World Bank Upper Middle Income,,2002,,,33878,294237,80846,51735,5404,157882,269173,24048,359454,41594,212301,6304921,557807,415000,95258,319868,3124,100171,38013,3127866,8361,312512,303263,45708,46074,,570012,1632340,370361,653322,45310,14078
World Bank Upper Middle Income,,2003,,,32123,306663,83723,49390,4761,150420,256463,22725,389418,36502,208241,6464233,544763,396103,98006,327119,31189,94053,38632,3205567,18987,324590,314704,46824,43527,,583803,1622010,381087,670147,45670,11841
World Bank Upper Middle Income,,2004,,,30647,320313,86750,46655,4219,144494,248364,21803,411088,33613,202105,6561245,533802,377353,98637,331170,11513,87903,37338,3286926,21808,335336,324192,47680,40733,,594968,1616178,388232,681629,45085,10364
World Bank Upper Middle Income,,2005,,,29365,333641,89479,44528,3884,139020,240579,21060,421604,33497,195743,6674353,525944,359329,98404,329231,2519,82427,37812,3349636,27850,345646,333216,48355,38664,,596946,1583491,395958,692068,45350,9406
World Bank Upper Middle Income,,2006,,,27821,347912,90257,42601,3553,129037,230212,19933,416493,32217,181770,6560040,510742,342871,93498,313024,3117,77236,33460,3345646,43486,347077,337758,46460,36985,,587850,1509981,391567,683372,42411,8739
World Bank Upper Middle Income,,2007,,,26847,363889,92435,40990,3083,123945,222791,18613,403715,31177,167420,6555459,502789,328085,88706,300487,2913,71974,29967,3380334,40859,351137,345543,45357,35579,,584358,1466858,388915,678146,40591,8132
World Bank Upper Middle Income,,2008,,,26083,381557,96294,40311,2447,119838,224066,17838,386811,30695,158278,6699411,505450,315018,85685,294043,89725,68144,28567,3459883,18283,361673,359248,45805,34947,,586802,1458395,393000,685071,39762,7790
World Bank Upper Middle Income,,2009,,,25549,400919,100528,40107,2363,117048,223623,17726,363299,29246,148869,6832381,511601,301681,81947,285208,1777,64590,26200,3533662,12565,373669,374350,45873,34716,,585430,1458996,391975,686425,38539,7469
World Bank Upper Middle Income,,2010,,,24436,419449,105027,40032,2577,114209,221133,16267,343162,28969,141405,7022598,517097,285747,79627,279599,9508,61677,29728,3618952,10302,384244,388694,46134,34589,,581127,1458155,392858,691709,37967,7202
World Bank Upper Middle Income,,2011,,,23334,434839,107535,39795,2517,107373,217228,14970,322003,27690,132137,7065372,516564,274687,76022,267437,6006,59042,22971,3657754,15512,392258,399682,45075,34352,,563678,1435514,387587,687063,36260,6996
World Bank Upper Middle Income,,2012,,,22592,449933,109700,39815,2571,104301,216976,14209,297732,26902,125066,7088922,518502,267292,73689,258076,2194,56897,22167,3702407,12268,401373,410528,44040,34322,,546026,1405862,385442,687078,35133,6868
World Bank Upper Middle Income,,2013,,,21928,465229,112414,40501,2629,100856,214398,13860,284906,26363,118894,7166839,523309,254184,72523,251516,2413,55261,20306,3745534,23185,415641,423814,43241,34853,,529964,1385523,384589,689441,34675,6807
World Bank Upper Middle Income,,2014,,,21220,484174,115852,41015,2469,99742,211566,13419,284308,26151,113998,7289580,530309,240383,72733,249137,2406,53911,20419,3824219,43942,433363,435739,42652,35217,,518842,1376607,387882,697835,33919,6751
World Bank Upper Middle Income,,2015,,,20614,503209,118621,41793,2296,97185,209860,13058,290627,25086,109822,7375535,536854,232225,71923,244403,1308,52782,18966,3890744,34711,449232,447187,41467,35815,,503195,1370619,388476,702441,33117,6733
World Bank Upper Middle Income,,2016,,,20123,529898,122871,43157,2321,95913,210260,12604,299977,24572,107487,7526465,549095,220992,71619,243349,2728,52151,18631,3985641,38914,468736,462312,40782,36885,,493729,1388546,391931,711612,32518,6776
World Bank Upper Middle Income,,2017,,,19379,556742,126187,43975,2543,93070,211988,11977,294151,24554,102822,7614992,549202,201084,71099,241681,3645,51712,17611,4068178,30179,483660,473250,39602,37516,,485656,1396567,393924,716047,31944,6628
World Bank Upper Middle Income,,2018,,,18651,581026,129622,44456,2448,91537,210843,11597,275185,25763,99505,7744544,550718,185032,72670,242255,554,51005,17353,4172284,7408,493755,483778,38967,37989,,483265,1415816,397148,720513,32269,6387
World Bank Upper Middle Income,,2019,,,18104,604357,134442,45195,3044,89851,208626,11289,262649,26734,97819,7943909,558829,173125,73977,240832,710,50882,17332,4305756,3312,509620,498749,38481,38650,,479621,1455296,404142,732989,32500,6276