YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,DJF,MAM,JJA,SON,metANN
1962,999.90,999.90,999.90,999.90,999.90,24.17,25.56,27.38,25.34,23.30,21.47,16.21,999.90,999.90,25.70,23.37,999.90
1963,14.49,15.94,14.84,19.46,21.68,24.17,26.46,27.63,26.05,23.92,18.88,14.40,15.55,18.66,26.09,22.95,20.81
1964,11.90,13.57,16.78,17.69,19.44,23.85,25.32,25.94,24.17,21.32,18.05,15.06,13.29,17.97,25.04,21.18,19.37
1965,13.42,13.80,16.79,18.35,20.64,24.85,25.68,26.29,25.00,21.58,17.71,15.27,14.09,18.59,25.61,21.43,19.93
1966,14.08,14.19,15.55,19.38,20.58,24.09,26.08,26.51,25.09,22.99,21.77,15.84,14.51,18.50,25.56,23.28,20.46
1967,12.06,12.25,13.30,17.27,20.12,22.98,25.21,26.13,24.48,22.00,17.77,15.23,13.38,16.90,24.77,21.42,19.12
1968,12.83,12.70,14.45,18.56,22.02,24.63,26.36,26.08,24.55,21.70,18.91,15.46,13.59,18.34,25.69,21.72,19.83
1969,12.87,14.25,17.38,16.84,21.97,24.76,24.90,25.53,25.27,22.39,18.04,15.11,14.19,18.73,25.06,21.90,19.97
1970,13.81,14.01,17.33,19.17,20.56,23.25,25.41,25.90,24.32,20.83,18.75,13.40,14.31,19.02,24.85,21.30,19.87
1971,15.68,13.92,15.74,16.58,21.64,23.81,25.11,26.10,25.04,21.22,17.78,13.57,14.33,17.99,25.01,21.35,19.67
1972,12.50,12.59,15.08,20.14,20.75,23.60,25.17,25.80,25.16,22.79,17.75,11.98,12.89,18.66,24.86,21.90,19.57
1973,12.33,14.99,15.30,17.66,20.44,23.12,25.86,26.20,24.97,22.56,16.91,14.53,13.10,17.80,25.06,21.48,19.36
1974,11.74,13.78,16.09,18.53,20.16,23.29,25.69,25.95,24.66,23.29,18.46,13.77,13.35,18.26,24.98,22.14,19.68
1975,12.62,13.24,15.77,20.01,20.27,23.85,25.43,25.83,24.72,21.23,18.34,14.11,13.21,18.68,25.04,21.43,19.59
1976,13.28,11.93,14.82,18.74,21.21,23.13,25.23,25.39,23.95,22.96,19.02,15.15,13.11,18.26,24.58,21.98,19.48
1977,12.35,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,13.66,999.90,999.90,999.90,999.90
1978,999.90,999.90,999.90,18.68,21.87,23.83,26.77,25.29,24.28,22.98,16.78,14.99,999.90,18.78,25.30,21.35,19.68
1979,13.50,15.26,16.41,20.30,20.49,24.89,26.20,25.93,24.99,23.05,20.60,14.21,14.58,19.07,25.67,22.88,20.55
1980,12.42,13.03,15.27,19.29,21.66,23.74,26.21,26.59,24.25,22.18,19.11,14.90,13.22,18.74,25.51,21.85,19.83
1981,12.33,13.84,15.98,18.52,20.16,23.82,26.30,26.42,25.47,22.86,17.04,15.51,13.69,18.22,25.51,21.79,19.80
1982,13.36,12.15,13.75,19.59,20.52,22.81,25.42,26.34,24.74,22.47,15.99,13.09,13.67,17.95,24.86,21.07,19.39
1983,10.81,11.73,13.85,16.90,20.54,23.38,25.62,26.10,24.48,21.19,19.22,14.45,11.88,17.10,25.03,21.63,18.91
1984,13.21,13.35,16.20,17.35,21.52,23.12,25.27,25.38,24.26,22.14,18.55,13.15,13.67,18.36,24.59,21.65,19.57
1985,15.11,13.07,14.78,17.76,22.06,23.82,25.13,27.50,24.93,21.19,19.46,15.07,13.78,18.20,25.48,21.86,19.83
1986,13.58,14.06,16.06,19.88,19.49,24.49,25.51,26.40,26.25,22.33,16.08,13.26,14.24,18.48,25.47,21.55,19.93
1987,13.50,14.90,13.41,16.66,20.13,22.96,25.98,27.06,25.38,21.72,17.87,15.39,13.89,16.73,25.33,21.66,19.40
1988,13.50,13.30,14.80,18.42,22.81,24.66,27.41,27.03,25.14,21.95,16.65,14.38,14.06,18.68,26.37,21.25,20.09
1989,10.49,11.94,14.97,20.12,22.12,23.71,26.30,26.50,25.51,21.77,19.11,14.41,12.27,19.07,25.50,22.13,19.74
1990,12.76,13.00,15.11,18.39,20.41,23.77,26.09,26.01,24.91,23.22,20.34,16.07,13.39,17.97,25.29,22.82,19.87
1991,12.91,13.99,16.81,19.39,21.54,23.47,25.58,26.21,24.63,23.16,18.47,13.04,14.32,19.25,25.09,22.09,20.19
1992,10.83,11.10,13.54,17.27,20.35,23.66,24.81,26.28,24.63,22.43,19.16,13.02,11.66,17.05,24.92,22.07,18.92
1993,11.53,11.14,14.44,18.32,21.00,24.38,999.90,26.64,24.60,24.68,18.43,16.02,11.90,17.92,25.77,22.57,19.54
1994,15.06,13.90,14.85,20.24,21.62,23.89,25.92,26.26,26.57,25.44,18.00,12.98,14.99,18.90,25.36,23.34,20.65
1995,12.77,13.30,15.41,17.44,20.74,24.93,26.65,27.08,25.60,21.75,17.01,13.73,13.02,17.86,26.22,21.45,19.64
1996,13.17,14.45,15.27,17.71,22.41,23.72,26.67,26.66,25.46,22.24,19.78,15.93,13.78,18.46,25.68,22.49,20.11
1997,13.76,11.63,13.69,17.29,21.22,24.41,26.74,25.88,24.39,22.66,19.25,15.35,13.77,17.40,25.68,22.10,19.74
1998,13.27,14.11,14.99,20.19,22.22,24.43,26.75,28.40,26.50,23.14,20.16,16.41,14.24,19.13,26.53,23.27,20.79
1999,14.00,14.06,16.03,18.19,22.47,24.94,26.94,27.72,26.26,23.15,19.20,15.21,14.82,18.90,26.53,22.87,20.78
2000,12.34,12.63,14.10,19.62,20.87,24.73,27.76,27.29,25.93,22.16,18.08,14.85,13.39,18.20,26.59,22.06,20.06
2001,13.28,13.47,17.97,19.85,22.07,24.54,26.81,27.88,26.11,23.37,18.56,14.76,13.87,19.96,26.41,22.68,20.73
2002,11.60,14.46,17.33,18.49,20.86,24.77,27.70,27.83,26.26,23.40,19.85,15.29,13.61,18.89,26.77,23.17,20.61
2003,14.55,12.94,14.01,18.82,999.90,24.79,26.61,27.30,25.39,23.14,19.05,15.16,14.26,17.85,26.23,22.53,20.22
2004,13.28,13.77,16.46,18.18,21.73,23.96,26.77,26.93,25.26,23.60,19.32,13.37,14.07,18.79,25.89,22.73,20.37
2005,13.45,13.45,15.58,19.45,20.75,24.19,26.62,27.50,26.14,22.35,18.00,15.73,13.42,18.59,26.10,22.16,20.07
2006,13.31,14.61,16.09,18.94,21.14,24.87,26.70,27.34,26.31,23.16,17.36,13.23,14.55,18.72,26.30,22.28,20.46
2007,12.58,14.17,15.48,18.72,23.30,25.08,27.16,27.65,26.32,24.08,19.12,14.87,13.33,19.17,26.63,23.17,20.57
2008,11.11,13.03,18.47,20.10,20.91,25.42,27.05,27.84,26.46,22.65,19.36,15.97,13.00,19.83,26.77,22.82,20.61
2009,13.91,14.60,15.50,18.90,21.69,25.37,27.60,27.93,26.33,24.82,18.87,16.51,14.83,18.70,26.97,23.34,20.96
2010,15.74,16.74,18.53,19.38,22.21,25.83,27.33,29.26,27.72,25.51,21.29,16.94,16.33,20.04,27.47,24.84,22.17
2011,14.57,15.17,15.97,19.37,22.47,25.37,27.77,28.17,26.77,23.57,16.57,14.36,15.56,19.27,27.10,22.30,21.06
2012,12.56,13.26,14.66,19.46,22.76,25.96,28.96,29.16,27.26,24.66,20.46,15.76,13.39,18.96,28.03,24.13,21.13
2013,13.46,15.46,18.66,20.06,23.16,25.86,27.06,27.96,26.36,22.26,20.56,13.55,14.89,20.63,26.96,23.06,21.39
2014,13.75,14.25,16.95,20.25,22.95,25.55,27.25,28.05,26.85,22.75,18.45,15.84,13.85,20.05,26.95,22.68,20.88
2015,11.94,13.64,17.34,18.34,23.14,24.54,26.69,29.34,28.39,24.74,20.19,14.19,13.81,19.61,26.86,24.44,21.18
2016,12.49,15.49,17.94,21.34,23.19,26.64,27.84,28.34,26.39,23.79,19.39,13.73,14.06,20.82,27.61,23.19,21.42
2017,12.63,12.28,16.38,19.53,22.83,25.08,28.53,28.28,26.58,22.93,18.88,16.42,12.88,19.58,27.30,22.80,20.64
2018,13.77,15.92,18.67,19.92,25.62,26.12,28.17,28.37,27.12,24.72,19.22,15.66,15.37,21.40,27.55,23.69,22.00
2019,12.86,14.31,14.86,18.01,23.26,26.41,27.71,28.01,26.51,24.31,20.26,15.21,14.28,18.71,27.38,23.69,21.01
2020,12.96,14.26,16.81,18.71,23.16,24.71,27.41,28.16,28.61,25.21,19.81,16.60,14.14,19.56,26.76,24.54,21.25
2021,14.80,14.80,16.25,19.40,23.55,24.85,28.30,28.65,26.60,23.50,20.45,15.20,15.40,19.73,27.27,23.52,21.48
2022,11.95,13.50,13.15,19.80,22.10,25.40,27.20,28.40,27.05,24.25,20.35,16.55,13.55,18.35,27.00,23.88,20.70