YEAR,Zurich,Dublin,Calcutta,Melbourne,NYC,SanDiego
1880,8.19,8.37,26.59,13.51,13.13,15.36
1881,8.65,7.83,26.51,13.04,11.26,16.77
1882,8.45,8.49,26.56,12.96,12.11,16.31
1883,8.04,7.70,26.44,13.62,10.81,17.01
1884,8.52,8.57,26.28,12.94,11.87,16.95
1885,8.26,7.55,26.97,12.99,10.86,17.54
1886,8.17,7.95,26.83,13.65,11.70,16.74
1887,7.09,7.78,26.41,13.29,11.11,16.81
1888,7.20,7.51,26.73,12.86,10.20,17.14
1889,7.35,8.21,26.88,13.34,12.03,17.74
1890,7.30,8.56,26.59,13.45,12.83,17.13
1891,6.83,7.65,26.66,12.71,12.39,17.36
1892,8.67,7.45,26.88,12.05,12.35,16.34
1893,8.61,8.78,25.70,12.36,10.88,16.50
1894,8.39,8.20,26.79,12.94,12.17,15.55
1895,7.73,7.73,26.79,13.00,11.78,16.58
1896,7.72,8.54,27.16,12.98,12.02,17.15
1897,8.60,8.49,27.05,13.01,11.66,17.00
1898,8.78,8.99,26.50,13.64,12.90,16.50
1899,9.10,9.19,26.68,13.03,11.90,16.26
1900,8.47,8.24,26.92,13.35,12.53,17.32
1901,7.62,8.48,26.70,12.98,11.63,17.04
1902,7.87,8.17,26.41,13.00,12.04,16.38
1903,8.05,8.40,26.61,13.12,11.99,16.84
1904,8.49,8.24,26.17,13.25,10.42,17.54
1905,8.06,8.41,25.79,12.65,11.09,17.14
1906,8.58,8.78,26.38,12.95,12.47,17.10
1907,7.79,8.04,26.50,12.80,10.86,16.96
1908,7.91,8.82,26.61,13.38,12.34,16.40
1909,7.42,8.23,26.49,13.06,12.22,16.22
1910,8.19,8.34,26.39,13.79,12.02,16.52
1911,9.09,9.12,26.50,13.51,11.56,16.52
1912,7.93,8.49,26.45,13.55,11.81,16.48
1913,8.53,9.01,26.01,13.08,13.10,16.55
1914,7.88,9.20,26.28,14.06,11.80,17.36
1915,7.97,8.01,26.83,13.41,12.04,16.91
1916,8.80,8.81,26.58,13.30,11.53,16.13
1917,8.09,7.71,26.07,13.26,11.00,16.37
1918,7.77,8.22,26.09,13.85,11.32,17.63
1919,8.01,7.81,26.36,13.83,12.71,16.68
1920,9.11,8.87,26.57,13.60,11.26,16.54
1921,9.35,9.28,26.37,14.25,13.30,16.57
1922,7.70,8.10,26.45,13.44,12.23,16.66
1923,8.68,8.27,26.34,13.26,11.48,17.27
1924,7.70,8.19,27.18,12.82,11.67,16.96
1925,8.35,8.40,26.25,12.92,12.15,16.99
1926,9.13,8.68,26.28,13.52,11.17,18.16
1927,8.63,8.41,26.51,13.23,11.77,17.04
1928,9.09,8.45,26.80,14.01,12.18,17.01
1929,7.89,8.25,26.65,12.99,12.66,17.23
1930,9.38,8.15,26.54,13.51,12.75,17.71
1931,7.97,8.15,26.83,12.89,13.19,18.73
1932,8.28,8.51,26.79,13.12,13.11,16.65
1933,8.42,9.39,26.25,13.14,12.83,15.24
1934,8.78,8.98,26.52,14.01,11.74,15.27
1935,8.96,9.12,26.78,13.18,11.98,15.27
1936,8.69,8.26,26.54,13.15,11.58,17.66
1937,9.23,8.62,26.32,13.14,12.77,16.86
1938,8.82,9.02,26.57,13.47,12.97,17.42
1939,8.14,8.88,26.73,13.61,12.65,17.79
1940,7.66,8.54,26.54,13.27,11.11,17.93
1941,7.35,8.15,26.99,13.32,12.79,17.87
1942,8.21,8.39,26.95,13.50,12.65,16.92
1943,9.55,9.20,26.40,12.91,12.24,17.39
1944,8.45,8.74,26.51,12.92,12.78,16.44
1945,9.01,9.42,26.43,12.79,12.64,16.91
1946,9.06,8.70,26.33,12.73,12.73,17.09
1947,9.41,8.41,26.88,13.36,12.39,17.29
1948,9.44,9.03,26.65,12.80,12.10,16.24
1949,9.36,9.62,26.30,12.63,13.80,16.37
1950,9.60,8.80,26.34,13.36,12.22,16.40
1951,8.58,7.91,26.93,14.10,12.61,16.92
1952,8.82,8.48,26.75,13.04,13.03,16.55
1953,8.75,8.79,27.05,13.32,13.59,16.93
1954,8.03,8.38,26.91,14.14,12.77,17.08
1955,8.24,8.53,26.69,13.59,12.90,16.55
1956,7.56,8.28,26.42,13.29,11.48,16.82
1957,8.90,9.07,27.01,13.17,13.09,17.49
1958,8.60,8.62,27.46,12.84,11.95,18.22
1959,9.52,9.40,26.77,13.43,12.61,18.47
1960,9.26,8.95,26.87,12.93,12.51,17.37
1961,9.89,9.02,26.70,14.19,12.16,17.15
1962,8.31,7.83,26.30,13.73,11.66,16.33
1963,7.76,7.83,26.70,13.61,11.76,17.09
1964,8.57,8.74,26.95,13.42,12.21,16.51
1965,7.75,8.16,26.54,13.31,12.01,16.63
1966,9.30,8.65,26.82,14.37,12.68,16.75
1967,9.43,8.59,26.44,13.87,11.18,17.03
1968,8.68,8.53,26.51,13.69,12.09,17.46
1969,8.59,8.30,26.91,13.95,12.33,16.88
1970,8.09,8.66,26.70,13.47,11.95,17.29
1971,8.63,8.86,25.80,13.90,12.21,16.64
1972,8.68,8.24,26.75,14.08,11.99,17.00
1973,8.50,8.88,26.83,14.28,13.23,16.98
1974,9.11,8.03,26.49,13.58,12.46,17.23
1975,9.53,9.21,26.41,13.94,12.77,16.43
1976,9.25,9.10,26.90,13.88,12.00,17.62
1977,9.13,8.14,26.59,13.83,11.99,17.16
1978,8.20,8.69,26.41,13.76,11.32,18.21
1979,8.68,7.84,27.37,13.98,12.88,17.22
1980,8.66,8.39,27.11,14.03,14.07,17.63
1981,8.72,8.95,26.52,14.43,14.34,18.34
1982,9.34,8.67,26.93,14.29,11.93,17.38
1983,9.63,8.91,26.75,13.77,13.29,18.12
1984,8.54,8.91,26.41,13.94,12.24,18.56
1985,8.24,8.22,26.93,13.84,13.14,15.39
1986,8.71,7.87,26.83,13.76,12.32,18.03
1987,8.42,8.31,27.11,13.61,12.46,17.67
1988,9.51,8.71,27.02,14.74,12.46,17.64
1989,9.78,9.73,26.85,14.36,12.30,17.72
1990,10.30,9.46,26.53,14.26,12.88,18.16
1991,9.03,8.54,27.20,13.97,13.80,17.22
1992,9.54,8.85,26.86,13.47,11.93,18.90
1993,8.96,8.43,26.51,14.33,12.73,17.90
1994,10.62,8.79,26.94,13.77,12.35,17.64
1995,9.69,9.80,26.98,13.72,13.07,17.79
1996,8.36,8.57,27.11,13.49,11.68,18.15
1997,9.41,9.50,26.84,13.90,12.72,18.67
1998,9.80,9.55,26.86,13.85,13.95,17.41
1999,9.56,9.67,27.15,14.51,13.96,16.78
2000,10.35,8.96,27.09,14.50,12.74,17.67
2001,10.10,9.16,27.10,14.98,13.08,17.09
2002,10.17,9.47,27.15,14.32,14.16,16.89
2003,10.55,9.52,27.15,14.18,12.06,17.75
2004,9.57,9.34,27.00,14.12,12.71,17.95
2005,9.47,9.56,27.24,14.90,13.58,17.56
2006,9.67,9.62,27.42,14.25,13.64,18.00
2007,10.36,9.72,27.13,14.80,13.36,17.73
2008,9.76,9.37,26.91,14.56,13.18,17.96
2009,9.96,9.60,27.87,14.52,12.61,18.28
2010,9.07,8.41,27.72,14.74,14.14,17.33
2011,10.36,9.07,27.04,14.57,13.36,16.11
2012,10.14,9.23,27.44,14.51,14.44,18.24
2013,9.34,9.38,26.94,15.00,13.27,18.15
2014,10.86,10.22,27.39,15.14,12.31,19.87
2015,10.72,9.00,27.45,14.47,13.19,19.84
2016,10.58,9.80,27.96,15.00,14.53,19.05
2017,10.47,9.99,27.61,14.80,13.65,18.92
2018,11.24,9.42,27.53,15.00,13.02,19.11
2019,10.80,9.77,27.29,14.99,13.18,18.06
2020,11.35,9.67,27.03,14.48,13.99,18.95
2021,9.87,9.64,27.38,14.39,13.60,18.38
2022,11.79,10.37,27.21,14.41,13.76,17.73